course,utme_subjects,schools_offering
Accounting,"Mathematics, Economics plus any other Social Science subject","AAUA; ABSU; ABU; ABU-ODL; ABUJA; ADUN; AL-ANSAR; APU; ARTHUR JARVIS; ATIBA; BASUG; BAYERO; BINGHAM; BOWEN; CALEB; CARITAS; CHRISLAND; CHRISTOPHER; CLIFFORD; COAL CITY; COOU; COVENANT; CRAWFORD; CROWN-HILL; DELSU; DOMINICAN-UNI; EBSU; EDWIN CLARK; EKSU; ELIZADE; EPU; EVANGEL; FED-KASHERE; FED-LAFIA; FED-LOKOJA; FED-OTUOKE; FED-WUKARI; FEDERAL UNIVERSITY GUSAU; FOUNTAIN; GOUU; GREGORY; HALLMARK; HEZEKIAH; IMSU; JABU; KASU; KOLADAISI; KWASU; LANDMARK; LASU; LEGACY; MADONNA; MCPHERSON; MOUNTAIN TOP; NASARAWA; NDU; NILE; NOVENA; OAU; OOU; PAUL; PHC; PLASU; POL-ACAD; REDEEMERS; RENAISSANCE; RITMAN; SALEM; SAU; SOUTHWESTERN; SPIRITAN; SUMMIT; TANSIAN; UNIKINGS; UNILAG; UNIOSUN; UNIZIK; VERITAS; WELLSPRING; WESLEYUNI; WESTERN-DEL"
Accounting and Finance,"Mathematics, Economics plus any other Social Science subject","BAZE"
Actuarial Science,"Mathematics, Economics plus any other Social Science subject","UNILAG"
Banking and Finance,"Mathematics, Economics plus one other Social Science subject","ABU; ABUJA; ABUAD; AJAYI; AKSU; AL-HIKMAH; AL-QALAM; ARTHUR JARVIS; ATIBA; BASUG; BAYERO; BENIN; BINGHAM; BOWEN; CALEB; CARITAS; CHRISLAND; CHRISTOPHER; CLIFFORD; COAL CITY; COOU; COVENANT; CRAWFORD; CROWN-HILL; DELSU; DOMINICAN-UNI; EBSU; EDWIN CLARK; EKSU; ELIZADE; EPU; EVANGEL; FED-KASHERE; FED-LAFIA; FED-LOKOJA; FED-OTUOKE; FED-WUKARI; FEDERAL UNIVERSITY GUSAU; FOUNTAIN; GOUU; GREGORY; HALLMARK; HEZEKIAH; IMSU; JABU; JOS; KASU; KOLADAISI; KWASU; LAGOS; LANDMARK; LASU; LEGACY; MADONNA; MCPHERSON; MOUNTAIN TOP; NASARAWA; NDU; NILE; NOVENA; OAU; OOU; PAUL; PHC; PLASU; POL-ACAD; REDEEMERS; RENAISSANCE; RITMAN; SALEM; SAU; SOUTHWESTERN; SPIRITAN; SUMMIT; TANSIAN; UNIKINGS; UNILAG; UNIOSUN; UNIZIK; VERITAS; WELLSPRING; WESLEYUNI; WESTERN-DEL"
Business Administration,"Mathematics, Economics plus one other Social Science subject","AAUA; ABSU; ABU; ABU-ODL; ABUJA; ABUAD; ACHIEVERS; ADELEKE; ADUN; AJAYI; AKSU; AL-ANSAR; AL-HIKMAH; AL-QALAM; ANCHOR-UNI; ARTHUR JARVIS; ATIBA; BASUG; BAYERO; BENIN; BINGHAM; BOWEN; CALEB; CARITAS; CHRISLAND; CHRISTOPHER; CLIFFORD; COAL CITY; COOU; COVENANT; CRAWFORD; CROWN-HILL; DELSU; DOMINICAN-UNI; EBSU; EDWIN CLARK; EKSU; ELIZADE; EPU; EVANGEL; FED-KASHERE; FED-LAFIA; FED-LOKOJA; FED-OTUOKE; FED-WUKARI; FEDERAL UNIVERSITY GUSAU; FOUNTAIN; GOUU; GREGORY; HALLMARK; HEZEKIAH; IBADAN; IMSU; JABU; JOS; KASU; KOLADAISI; KWASU; LAGOS; LANDMARK; LASU; LEGACY; MADONNA; MCPHERSON; MOUNTAIN TOP; NASARAWA; NDU; NILE; NOVENA; OAU; OOU; PAUL; PHC; PLASU; POL-ACAD; REDEEMERS; RENAISSANCE; RITMAN; SALEM; SAU; SOUTHWESTERN; SPIRITAN; SUMMIT; TANSIAN; UNIKINGS; UNILAG; UNIOSUN; UNIZIK; VERITAS; WELLSPRING; WESLEYUNI; WESTERN-DEL"
Business Management,"Mathematics, Economics plus one other Social Science subject","AKSU; IMSU"
Cooperative and Rural Development,"Mathematics, Economics plus one other Social Science subject","ESUT; MAUTY"
Hospitality and Tourism Management,"Mathematics, Economics plus one other Social Science subject","MAUTY"
Industrial Relations and Personnel Management,"Mathematics, Economics plus one other Social Science subject","LASU; UNILAG"
Insurance,"Mathematics, Economics plus one other Social Science subject","ABSU; EKSU; LASU; UNILAG"
Insurance and Actuarial Science,"Mathematics, Economics plus one other Social Science subject","LASU"
Local Government Studies,"Mathematics, Economics plus one other Social Science subject","OAU"
Management,"Mathematics, Economics plus one other Social Science subject","UNIUYO"
Management and Entrepreneurship,"Mathematics, Economics plus one other Social Science subject","ESUT"
Marketing,"Mathematics, Economics plus one other Social Science subject","ABU; ABSU; ABUAD; AKSU; AL-HIKMAH; ANCHOR-UNI; ARTHUR JARVIS; BASUG; BAYERO; BENIN; BINGHAM; BOWEN; CALEB; CARITAS; CHRISLAND; CHRISTOPHER; CLIFFORD; COAL CITY; COOU; COVENANT; CRAWFORD; CROWN-HILL; DELSU; DOMINICAN-UNI; EBSU; EDWIN CLARK; EKSU; ELIZADE; EPU; EVANGEL; FED-KASHERE; FED-LAFIA; FED-LOKOJA; FED-OTUOKE; FED-WUKARI; FEDERAL UNIVERSITY GUSAU; FOUNTAIN; GOUU; GREGORY; HALLMARK; HEZEKIAH; IBADAN; IMSU; JABU; JOS; KASU; KOLADAISI; KWASU; LAGOS; LANDMARK; LASU; LEGACY; MADONNA; MCPHERSON; MOUNTAIN TOP; NASARAWA; NDU; NILE; NOVENA; OAU; OOU; PAUL; PHC; PLASU; POL-ACAD; REDEEMERS; RENAISSANCE; RITMAN; SALEM; SAU; SOUTHWESTERN; SPIRITAN; SUMMIT; TANSIAN; UNIKINGS; UNILAG; UNIOSUN; UNIZIK; VERITAS; WELLSPRING; WESLEYUNI; WESTERN-DEL"
Office and Information Management,"Mathematics, Economics plus one other Social Science subject","RSU"
Public Administration,"Government, Economics plus any other Social Science subject","AAUA; ABSU; ABU; ABU-ODL; ABUJA; ABUAD; ACHIEVERS; ADELEKE; ADUN; AJAYI; AKSU; AL-ANSAR; AL-HIKMAH; AL-QALAM; ANCHOR-UNI; ARTHUR JARVIS; ATIBA; BASUG; BAYERO; BENIN; BINGHAM; BOWEN; CALEB; CARITAS; CHRISLAND; CHRISTOPHER; CLIFFORD; COAL CITY; COOU; COVENANT; CRAWFORD; CROWN-HILL; DELSU; DOMINICAN-UNI; EBSU; EDWIN CLARK; EKSU; ELIZADE; EPU; EVANGEL; FED-KASHERE; FED-LAFIA; FED-LOKOJA; FED-OTUOKE; FED-WUKARI; FEDERAL UNIVERSITY GUSAU; FOUNTAIN; GOUU; GREGORY; HALLMARK; HEZEKIAH; IBADAN; IMSU; JABU; JOS; KASU; KOLADAISI; KWASU; LAGOS; LANDMARK; LASU; LEGACY; MADONNA; MCPHERSON; MOUNTAIN TOP; NASARAWA; NDU; NILE; NOVENA; OAU; OOU; PAUL; PHC; PLASU; POL-ACAD; REDEEMERS; RENAISSANCE; RITMAN; SALEM; SAU; SOUTHWESTERN; SPIRITAN; SUMMIT; TANSIAN; UNIKINGS; UNILAG; UNIOSUN; UNIZIK; VERITAS; WELLSPRING; WESLEYUNI; WESTERN-DEL"
Transport and Logistics Management,"Mathematics, Economics plus one other Social Science subject","LASU"
Tourism Studies,"Mathematics, Economics plus one other Social Science subject","UNIUYO"
Tourism and Hospitality Management,"Mathematics, Economics plus one other Social Science subject","ODUDUWA; UNIUYO"
Advertising,"Any three (3) Social Science or Arts subjects","ABU; UNILAG"
Film and Video Studies,"Any three (3) Arts or Social Science subjects","UNIABUJA"
Film and Multimedia Studies,"Any three (3) Arts or Social Science subjects","UNILAG"
Mass Communication,"Any three (3) Arts or Social Science subjects","AAUA; ABSU; ABU; ABU-ODL; ABUAD; AJAYI; AKSU; AL-HIKMAH; ANCHOR-UNI; ARTHUR JARVIS; ATIBA; BASUG; BAYERO; BENIN; BINGHAM; BOWEN; CALEB; CARITAS; CHRISLAND; CHRISTOPHER; CLIFFORD; COAL CITY; COOU; COVENANT; CRAWFORD; CROWN-HILL; DELSU; DOMINICAN-UNI; EBSU; EDWIN CLARK; EKSU; ELIZADE; EPU; EVANGEL; FED-KASHERE; FED-LAFIA; FED-LOKOJA; FED-OTUOKE; FED-WUKARI; FEDERAL UNIVERSITY GUSAU; FOUNTAIN; GOUU; GREGORY; HALLMARK; HEZEKIAH; IBADAN; IMSU; JABU; JOS; KASU; KOLADAISI; KWASU; LAGOS; LANDMARK; LASU; LEGACY; MADONNA; MCPHERSON; MOUNTAIN TOP; NASARAWA; NDU; NILE; NOVENA; OAU; OOU; PAUL; PHC; PLASU; POL-ACAD; REDEEMERS; RENAISSANCE; RITMAN; SALEM; SAU; SOUTHWESTERN; SPIRITAN; SUMMIT; TANSIAN; UNIKINGS; UNILAG; UNIOSUN; UNIZIK; VERITAS; WELLSPRING; WESLEYUNI; WESTERN-DEL"
Journalism and Media Studies,"Any three (3) Arts or Social Science subjects","ABUAD"
Information and Media Studies,"Any three (3) Arts or Social Science subjects","BAYERO"
Communication and Media Studies,"Any three (3) Arts or Social Science subjects","UNIUYO"
Public Relations and Advertising,"Any three (3) Arts or Social Science subjects","CAU"
Theatre Arts,"Literature in English and two (2) other relevant subjects","ABSU; ABU; ABUAD; AKSU; BAYERO; BENIN; BINGHAM; BOWEN; DELSU; EBSU; EKSU; ELIZADE; FED-LAFIA; FED-WUKARI; GREGORY; IBADAN; IMSU; JABU; JOS; KASU; KWASU; LAGOS; LASU; MAUTY; NASARAWA; NDU; OAU; OOU; PHC; PLASU; REDEEMERS; RENAISSANCE; SALEM; UNIOSUN; UNIZIK; UNIUYO; UNN"
Performing Arts,"Literature in English and two (2) other relevant subjects","ILORIN"
Film Arts,"Literature in English and two (2) other relevant subjects","UNIJOS"
